"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"__omp_offloading_8f127ee_df00ed7c_main_l92.kd",2291,6891299989,3007987,58.508020586401415
"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",2291,4887085128,2133166,41.491979413598585
