"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","vgpr","sgpr","fbar","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
2967,"__omp_offloading_8f127ee_df00ed7c_main_l92.kd",0,3,1483,37747,37747,112640,256,512,16416,32,72,0,"0x14806a82a900","0x14806a8d8b40",1918509199521797,1918509199849571,1918509202846697,1918509202894142,2997126
2968,"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",0,0,742,37747,37747,112640,256,512,0,24,40,4288,"0x14806a82a900","0x14806a8d8b00",1918509203143493,1918509203158857,1918509205276621,1918509205305875,2117764
2969,"__omp_offloading_8f127ee_df00ed7c_main_l92.kd",0,1,1485,37747,37747,112640,256,512,16416,32,72,0,"0x14806a82a880","0x14806a8d8b40",1918509206155184,1918509206488143,1918509209454228,1918509209510076,2966085
2970,"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",0,2,742,37747,37747,112640,256,512,0,24,40,4288,"0x14806a82a880","0x14806a8d8b00",1918509209774496,1918509209787029,1918509211887193,1918509211918372,2100164
2971,"__omp_offloading_8f127ee_df00ed7c_main_l92.kd",0,3,1485,37747,37747,112640,256,512,16416,32,72,0,"0x14806a82a800","0x14806a8d8b40",1918509212859989,1918509213186715,1918509216187520,1918509216234309,3000805
2972,"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",0,0,743,37747,37747,112640,256,512,0,24,40,4288,"0x14806a82a800","0x14806a8d8b00",1918509216483480,1918509216498561,1918509218626884,1918509218676350,2128323
2973,"__omp_offloading_8f127ee_df00ed7c_main_l92.kd",0,1,1487,37747,37747,112640,256,512,16416,32,72,0,"0x14806a82a780","0x14806a8d8b40",1918509219753678,1918509220081447,1918509223072172,1918509223119993,2990725
2974,"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",0,2,743,37747,37747,112640,256,512,0,24,40,4288,"0x14806a82a780","0x14806a8d8b00",1918509223369834,1918509223385453,1918509225527697,1918509225560651,2142244
2975,"__omp_offloading_8f127ee_df00ed7c_main_l92.kd",0,3,1487,37747,37747,112640,256,512,16416,32,72,0,"0x14806a82a700","0x14806a8d8b40",1918509226389170,1918509226718259,1918509229694744,1918509229749913,2976485
2976,"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",0,0,744,37747,37747,112640,256,512,0,24,40,4288,"0x14806a82a700","0x14806a8d8b00",1918509229981250,1918509229994424,1918509232154748,1918509232186454,2160324
2977,"__omp_offloading_8f127ee_df00ed7c_main_l92.kd",0,1,1489,37747,37747,112640,256,512,16416,32,72,0,"0x14806a82a980","0x14806a8d8b40",1918509233202043,1918509233528991,1918509236521796,1918509236575342,2992805
2978,"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",0,2,744,37747,37747,112640,256,512,0,24,40,4288,"0x14806a82a980","0x14806a8d8b00",1918509236860482,1918509236878597,1918509239006600,1918509239037732,2128003
2979,"__omp_offloading_8f127ee_df00ed7c_main_l92.kd",0,3,1489,37747,37747,112640,256,512,16416,32,72,0,"0x14806a82a600","0x14806a8d8b40",1918509240003104,1918509240329792,1918509243345797,1918509243395428,3016005
2980,"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",0,0,745,37747,37747,112640,256,512,0,24,40,4288,"0x14806a82a600","0x14806a8d8b00",1918509243644429,1918509243659237,1918509245792041,1918509245840275,2132804
2981,"__omp_offloading_8f127ee_df00ed7c_main_l92.kd",0,1,1491,37747,37747,112640,256,512,16416,32,72,0,"0x14806a82a580","0x14806a8d8b40",1918509246695435,1918509247023883,1918509250029168,1918509250057932,3005285
2982,"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",0,2,745,37747,37747,112640,256,512,0,24,40,4288,"0x14806a82a580","0x14806a8d8b00",1918509250258539,1918509250271889,1918509252393813,1918509252426752,2121924
2983,"__omp_offloading_8f127ee_df00ed7c_main_l92.kd",0,3,1491,37747,37747,112640,256,512,16416,32,72,0,"0x14806a82a680","0x14806a8d8b40",1918509253516965,1918509253844695,1918509256850140,1918509256896896,3005445
2984,"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",0,0,746,37747,37747,112640,256,512,0,24,40,4288,"0x14806a82a680","0x14806a8d8b00",1918509257144815,1918509257158461,1918509259298465,1918509259330281,2140004
2985,"__omp_offloading_8f127ee_df00ed7c_main_l92.kd",0,1,1493,37747,37747,112640,256,512,16416,32,72,0,"0x14806a82a480","0x14806a8d8b40",1918509260345509,1918509260672227,1918509263657993,1918509263704981,2985766
2986,"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",0,2,746,37747,37747,112640,256,512,0,24,40,4288,"0x14806a82a480","0x14806a8d8b00",1918509263954933,1918509263970633,1918509266135437,1918509266167922,2164804
2987,"__omp_offloading_8f127ee_df00ed7c_main_l92.kd",0,3,1493,37747,37747,112640,256,512,16416,32,72,0,"0x14806a82a400","0x14806a8d8b40",1918509267023683,1918509267353199,1918509270368245,1918509270397602,3015046
2988,"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",0,0,747,37747,37747,112640,256,512,0,24,40,4288,"0x14806a82a400","0x14806a8d8b00",1918509270637405,1918509270656405,1918509272804729,1918509272853690,2148324
2989,"__omp_offloading_8f127ee_df00ed7c_main_l92.kd",0,1,1495,37747,37747,112640,256,512,16416,32,72,0,"0x14806a82a500","0x14806a8d8b40",1918509273907123,1918509274235931,1918509277199457,1918509277233580,2963526
2990,"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",0,2,747,37747,37747,112640,256,512,0,24,40,4288,"0x14806a82a500","0x14806a8d8b00",1918509277479385,1918509277494657,1918509279594341,1918509279650453,2099684
2991,"__omp_offloading_8f127ee_df00ed7c_main_l92.kd",0,3,1495,37747,37747,112640,256,512,16416,32,72,0,"0x14806a82a380","0x14806a8d8b40",1918509280722641,1918509281050024,1918509284072909,1918509284119104,3022885
2992,"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",0,0,748,37747,37747,112640,256,512,0,24,40,4288,"0x14806a82a380","0x14806a8d8b00",1918509284371141,1918509284387149,1918509286507953,1918509286562989,2120804
2993,"__omp_offloading_8f127ee_df00ed7c_main_l92.kd",0,1,1497,37747,37747,112640,256,512,16416,32,72,0,"0x14806a82a280","0x14806a8d8b40",1918509287654615,1918509287984756,1918509290983481,1918509291030928,2998725
2994,"__omp_offloading_8f127ee_df00ed7c_main_l71.kd",0,2,748,37747,37747,112640,256,512,0,24,40,4288,"0x14806a82a280","0x14806a8d8b00",1918509291280309,1918509291295642,1918509293449726,1918509293478320,2154084
